index(discard),year,bechdel_rating,title,imdb_id
343,1935,1,Mutiny on the Bounty,0026752
344,1935,3,Naughty Marietta,0026768
345,1935,3,Roberta,0026942
346,1935,3,Magnificent Obsession,0026667
347,1935,1,A Night At The Opera,0026778
348,1935,3,"Bride of Frankenstein, The",0026138
349,1935,2,"Lady in Scarlet, The",0026599
350,1935,2,"Riverside Murder, The",0026939
351,1935,2,Mad Love,0026663
352,1936,1,Swing Time,0028333
353,1936,0,Modern Times,0027977
354,1936,1,"Charge of the Light Brigade, The",0027438
355,1936,1,San Francisco,0028216
356,1936,2,Wife vs. Secretary,0028505
357,1936,3,"Petrified Forest, The",0028096
358,1936,3,Mr. Deeds Goes to Town,0027996
359,1936,3,Born to Dance,0027387
360,1936,0,Revolt of the Zombies,0028174
361,1936,1,Earthworm Tractors,0027562
362,1936,3,Osaka Elegy,0028021
363,1936,3,Theodora Goes Wild,0028355
364,1936,3,"Great Ziegfeld, The",0027698
365,1936,3,"Mandarin Mystery, The",0029207
366,1936,3,"Only Son, The",0027752
367,1936,3,Camille,0028683
368,1936,3,Pennies from Heaven,0028092
369,1936,3,Romeo and Juliet,0028203
370,1936,3,Bullets or Ballots,0027407
371,1936,2,My Man Godfrey,0028010
372,1936,3,Sabotage,0028212
373,1936,2,Fury,0027652
374,1936,3,Murder at Glen Athol,0028000
375,1936,0,Il caso Valdemar,3427056
376,1936,2,These Three,0028356
377,1936,3,Secret Agent,0028231
378,1936,3,Dracula&#39;s Daughter,0027545
379,1937,1,Shall We Dance,0029546
380,1937,3,Stage Door,0029604
381,1937,3,Stella Dallas,0029608
382,1937,2,Conquest,0028739
383,1937,2,Topper,0029682
384,1937,2,Lost Horizon,0029162
385,1937,1,"Prisoner of Zenda, The",0029442
386,1937,2,Knight Without Armor,0029087
387,1937,2,Parnell,0029377
388,1937,3,Snow White and the Seven Dwarfs,0029583
389,1937,2,A Day at the Races,0028772
390,1937,0,Nothing Sacred,0029322
391,1937,3,Make Way for Tomorrow,0029192
392,1937,1,Murder at the Baskervilles (Silver Blaze),0029565
393,1937,2,Pepe le Moko,0029453
394,1937,3,"Awful Truth, The",0028597
395,1937,3,"Girl Was Young, The",0029811
396,1937,3,Marked Woman,0029217
397,1937,3,"Bizarre, Bizarre",0027552
398,1937,1,"Life of Emile Zola, The",0029146
399,1937,3,Wee Willie Winkie,0029751
400,1937,0,Captains Courageous,0028691
401,1938,2,Carefree,0029971
402,1938,3,"Lady Vanishes, The",0030341
403,1938,3,Holiday,0030241
404,1938,0,"Dawn Patrol, The",0030044
405,1938,2,Jezebel,0030287
406,1938,2,"Sisters, The",0030755
407,1938,0,Boys Town,0029942
408,1938,1,"Mr. Wong, Detective",0030473
409,1938,2,"Adventures of Robin Hood, The",0029843
410,1938,2,Bluebeard&#39;s Eighth Wife,0029929
411,1938,3,Bringing Up Baby,0029947
412,1938,3,Four Daughters,0030149
413,1938,3,"Mad Miss Manton, The",0030396
414,1938,1,"Baker&#39;s Wife, The",0030127
415,1938,1,Angels with Dirty Faces,0029870
416,1939,3,"Wizard of Oz, The",0032138
417,1939,3,Gone with the Wind,0031381
418,1939,2,Dodge City,0031235
419,1939,3,"Women, The",0032143
420,1939,3,Stagecoach,0031971
421,1939,2,Wuthering Heights,0032145
422,1939,2,"Goodbye, Mr. Chips",0031385
423,1939,3,Ninotchka,0031725
424,1939,2,Juarez,0031516
425,1939,3,Dark Victory,0031210
426,1939,2,Essex and Elizabeth,0031826
427,1939,2,Young Mr. Lincoln,0032155
428,1939,2,Jesse James,0031507
429,1939,2,Drums Along the Mohawk,0031252
430,1939,2,"Story of Alexander Graham Bell, The",0031981
431,1939,0,"Flying Deuces, The",0031322
432,1939,0,"Hunchback of Notre Dame, The",0031455
433,1939,2,At the Circus,0031060
434,1939,3,"Gorilla, The",0031387
435,1939,1,Mr. Wong in Chinatown,0031680
436,1939,1,Of Mice and Men,0031742
437,1939,3,"Rules of the Game, The",0031885
438,1939,3,Babes in Arms,0031066
439,1939,3,Destry Rides Again,0031225
440,1939,3,Nancy Drew... Reporter,0031709
441,1939,3,"Adventures of Sherlock Holmes, The",0031022
442,1939,2,Mr. Smith Goes to Washington,0031679
443,1939,3,Jamaica Inn,0031505
444,1939,2,Le jour se l&egrave;ve,0031514
445,1939,0,Gulliver&#39;s Travels,0031397
446,1939,3,Love Affair,0031593
447,1939,0,Gunga Din,0031398
448,1939,2,Only Angels Have Wings,0031762
449,1940,1,Pinocchio,0032910
450,1940,3,Rebecca,0032976
451,1940,0,"Thief of Bagdad, The",0033152
452,1940,3,"Mortal Storm, The",0032811
453,1940,2,Comrade X,0032349
454,1940,1,Boom Town,0032273
455,1940,0,Strange Cargo,0033105
456,1940,0,"Return of Frank James, The",0032983
457,1940,2,"All This, and Heaven Too",0032194
458,1940,2,"Letter, The",0032701
459,1940,3,"Grapes of Wrath, The",0032551
460,1940,0,A Chump at Oxford,0032339
461,1940,3,"Ape, The",0032215
462,1940,1,Santa Fe Trail,0033021
463,1940,3,His Girl Friday,0032599
464,1940,3,"Sea Hawk, The",0033028
465,1940,3,"Great Dictator, The",0032553
466,1940,3,Pride and Prejudice,0032943
467,1940,3,Primrose Path,0032946
468,1940,2,Chamber of Horrors / Door with the Seven Locks,0032406
469,1940,3,"Dance, Girl, Dance",0032376
470,1940,3,"Philadelphia Story, The",0032904
471,1940,0,Fantasia,0032455
472,1940,3,Anne Of Windy Poplars,0032211
473,1940,3,Gaslight,0031359
474,1940,3,"Last Alarm, The",0032690
475,1940,1,Foreign Correspondent,0032484
476,1940,3,"Shop Around the Corner, The",0033045
477,1940,1,Knute Rockne All American,0032676
478,1941,2,Two-Faced Woman,0034328
479,1941,3,"Shanghai Gesture, The",0034175
480,1941,1,"Maltese Falcon, The",0033870
481,1941,1,Citizen Kane,0033467
482,1941,2,Dumbo,0033563
483,1941,2,"Little Foxes, The",0033836
484,1941,2,"Lady Eve, The",0033804
485,1941,3,"Devil and Miss Jones, The",0033533
486,1941,1,Mr. Bug Goes to Town,0033727
487,1941,1,High Sierra,0033717
488,1941,2,"Wolf Man, The",0034398
489,1941,3,Cheers for Miss Bishop,0033459
490,1941,1,Men of Boys Town,0033902
491,1941,0,49th Parallel,0033627
492,1941,3,Buck Privates,0033436
493,1941,3,Hold That Ghost,0033723
494,1941,3,Meet John Doe,0033891
495,1941,3,Sullivan&#39;s Travels,0034240
496,1941,3,Murder by Invitation,0033928
497,1941,1,Ladies In Retirement,0033802
498,1941,3,Suspicion,0034248
499,1941,0,Sun valley serenade,0034241
500,1941,3,How Green Was My Valley,0033729
501,1941,3,"Reluctant Dragon, The",0034091
502,1941,3,King of the Zombies,0033787
503,1941,2,Ball of Fire,0033373
504,1942,3,"Major and the Minor, The",0035019
505,1942,3,"Now, Voyager",0035140
506,1942,1,Casablanca,0034583
507,1942,2,"Magnificent Ambersons, The",0035015
508,1942,1,Bambi,0034492
509,1942,1,Son of Fury: The Story of Benjamin Blake,0035360
510,1942,3,For Me and My Gal,0034746
511,1942,3,I Married an Angel,0034882
512,1942,3,Cat People,0034587
513,1942,0,Black Dragons,0034521
514,1942,0,There Was a Father,0034591
515,1942,2,Tales of Manhattan,0035415
516,1942,3,"Man Who Came to Dinner, The",0033874
517,1942,3,Woman of the Year,0035567
518,1942,0,To Be or Not to Be,0035446
519,1942,1,Sherlock Holmes and the Secret Weapon,0035317
520,1942,1,Saboteur,0035279
521,1942,1,Saboteur,0035279
522,1942,3,Mrs. Miniver,0035093
523,1942,0,Saludos Amigos,0036326
524,1942,1,"Corpse Vanishes, The",0034613
525,1942,3,"Gay Sisters, The",0034770
526,1943,3,Old Acquaintance,0036230
527,1943,3,Watch on the Rhine,0036515
528,1943,1,Girl Crazy,0035942
529,1943,3,I Walked with a Zombie,0036027
530,1943,1,"Sky&#39;s the Limit, The",0036363
531,1943,0,Sahara,0036323
532,1943,0,Guadalcanal Diary,0035957
533,1943,3,Tender Comrade,0036418
534,1943,3,Day of Wrath,0036506
535,1943,2,"Life and Death of Colonel Blimp, The",0036112
536,1943,3,Le Corbeau: The Raven,0035753
537,1943,3,Shadow of a Doubt,0036342
538,1943,0,Judo Saga (Sanshiro Sugata),0036400
539,1943,3,Cry &#39;Havoc&#39;,0035770
540,1943,0,Fires Were Started,0035881
541,1943,1,"Ox-Bow Incident, The",0036244
542,1943,3,So Proudly We Hail!,0036367
543,1943,3,Jane Eyre,0036969
544,1943,1,"More the Merrier, The",0036172
545,1943,1,La main du diable,0035017
546,1943,3,Angels of Sin,0035636
547,1943,3,"Seventh Victim, The",0036341
548,1943,3,China,0035735
549,1943,1,Ossessione,0035160
550,1943,3,Millions Like Us,0036160
551,1943,3,Heaven Can Wait,0035979
552,1944,3,Arsenic and Old Lace,0036613
553,1944,3,Double Indemnity,0036775
554,1944,2,Mr. Skeffington,0037094
555,1944,3,Meet Me in St. Louis,0037059
556,1944,2,Hail the Conquering Hero,0036891
557,1944,0,Torment,0036914
558,1944,1,Window in the Window,0037469
559,1944,3,Laura,0037008
560,1944,3,Cover Girl,0036723
561,1944,3,Since You Went Away,0037280
562,1944,3,To Have and Have Not,0037382
563,1944,3,I&#39;ll Be Seeing You,0036940
564,1944,3,National Velvet,0037120
565,1944,3,"Most Beautiful (Ichiban utsukushiku), The",0036947
566,1944,3,Lifeboat,0037017
567,1944,0,"Three Caballeros, The",0038166
568,1944,1,Minstrel Man,0037076
569,1944,3,A Canterbury Tale,0036695
570,1944,3,"Uninvited, The",0037415
571,1944,1,Die Feuerzangenbowle,0036818
572,1945,3,Mildred Pierce,0037913
573,1945,3,I Know Where I&#39;m Going,0037800
574,1945,3,"Seventh Veil, The",0038924
575,1945,3,Brief Encounter,0037558
576,1945,0,Along Came Jones,0037508
577,1945,3,Isle of the Dead,0037820
578,1945,3,"Enchanted Cottage, The",0037671
579,1945,0,"Objective, Burma!",0037954
580,1945,2,"Lost Weekend, The",0037884
581,1945,1,Detour,0037638
582,1945,3,Spellbound,0038109
583,1945,3,"Rome, Open City",0038890
584,1945,3,Scarlet Street,0038057
585,1945,2,Children of Paradise,0037674
586,1945,3,Keep Your Powder Dry,0037843
587,1945,3,"Woman in Green, The",0038259
588,1945,0,Anchors Aweigh,0037514
589,1945,2,Thin Man Goes Home,0037365
590,1945,1,"Red Dragon, The",0038017
591,1945,3,Dead of Night,0037635
592,1945,3,Les dames du Bois de Boulogne,0037630
593,1945,3,"Wicked Lady, The",0038250
594,1945,3,Leave Her to Heaven,0037865
595,1945,3,"Corn Is Green, The",0037614
596,1945,3,"Bells of St Mary&#39;s, The",0037536
597,1946,2,Notorious,0038787
598,1946,3,"Harvey Girls, The",0038589
599,1946,1,"Big Sleep, The",0038355
600,1946,1,"Postman Always Rings Twice, The",0038854
601,1946,0,Stairway to Heaven,0038733
602,1946,3,Beauty and the Beast,0038348
603,1946,0,Deception,0038461
604,1946,3,Devotion,0038474
605,1946,3,Two Sisters from Boston,0039054
606,1946,3,It&#39;s a Wonderful Life,0038650
607,1946,1,"Jolson Story, The",0038661
608,1946,0,Gilda,0038559
609,1946,3,"Strange Woman, The",0038990
610,1946,1,My Darling Clementine,0038762
611,1946,2,"Best Years of Our Lives, The",0036868
612,1946,3,Dressed to Kill,0038494
613,1946,2,Duel in the sun,0038499
614,1946,1,"Chase, The",0038409
615,1946,2,Song of the South,0038969
616,1946,1,Terror by Night,0039017
617,1946,1,"Dark Corner, The",0038453
618,1946,3,"Stranger, The",0038991
619,1946,1,Make Mine Music,0038718
620,1946,3,"Years Between, The",0039112
621,1946,2,Great Expectations,0038574
622,1946,3,She-Wolf of London,0038934
623,1947,3,Black Narcissus,0039192
624,1947,1,"Exile, The",0039360
625,1947,2,Odd Man Out,0039677
626,1947,2,Good News,0039431
627,1947,3,"Shocking Miss Pilgrim, The",0039819
628,1947,3,"Egg and I, The",0039349
629,1947,2,"Paradine Case, The",0039694
630,1947,3,"Ghost and Mrs. Muir, The",0039420
631,1947,2,Gunfighters,0039441
632,1947,2,Crossfire,0039286
633,1947,2,Calendar Girl,0039236
634,1947,2,Build My Gallows High,0039689
635,1947,3,Nada,0039650
636,1947,1,Fun &amp; Fancy Free,0039404
637,1947,3,Body and Soul,0039204
638,1947,3,Dishonored Lady,0039324
639,1947,3,"Unfinished Dance, The",0039938
640,1947,0,"Lady from Shanghai, The",0040525
641,1947,3,Miracle on 34th Street,0039628
642,1947,1,Gentleman&#39;s Agreement,0039416
643,1947,3,"Voice of the Turtle, The",0039969
644,1947,2,Dark Passage,0039302
645,1947,3,Monsieur Verdoux,0039631
646,1948,0,Red River,0040724
647,1948,3,"Red Shoes, The",0040725
648,1948,1,Hamlet,0040416
