"Title","Year","Released","Rated","Runtime","Genre","Director","Language","Country","imdbRating","imdbVotes","imdbID","BoxOffice"
"Duncan and Another, Blacksmith Shop","1891",1891-01-01,"N/A","N/A","Short","William K.L. Dickson, William Heise","None","United States",3.9,138,"tt0241393","N/A"
"Duncan Smoking","1891",NA,"N/A","1 min","Short","William K.L. Dickson, William Heise","None","United States",4,155,"tt0241392","N/A"
"Duncan or Devonald with Muslin Cloud","1891",1891-01-01,"N/A","N/A","Short","William K.L. Dickson, William Heise","None","United States",3.9,131,"tt0241394","N/A"
"Monkey and Another, Boxing","1891",1891-01-01,"N/A","N/A","Documentary, Short","William K.L. Dickson, William Heise","None, English","United States",5.5,133,"tt0241735","N/A"
"Je vous aime","1891",1891-01-01,"N/A","1 min","Short","Georges Demenÿ","None","France",5,378,"tt3201916","N/A"
"La vague","1891",1891-11-15,"N/A","1 min","Short","Étienne-Jules Marey","None","France",5,490,"tt3508566","N/A"
"Two Fencers","1891",1891-01-02,"N/A","1 min","Short, Sport","Étienne-Jules Marey","None","France",4.9,357,"tt5447082","N/A"
"Pauvre Pierrot","1892",1892-10-28,"TV-PG","4 min","Animation, Comedy, Short","Émile Reynaud","None","France",6.5,1896,"tt0000003","N/A"
"Un bon bock","1892",1892-10-28,"N/A","12 min","Animation, Short","Émile Reynaud","None","France",6.1,177,"tt0000004","N/A"
"Le clown et ses chiens","1892",1892-11-16,"N/A","5 min","Animation, Short","Émile Reynaud","None","France",6,269,"tt0000002","N/A"
"Fencing","1892",1892-10-01,"N/A","1 min","Short, Sport","William K.L. Dickson","None, English","United States",4.2,554,"tt0241446","N/A"
"Le prince de Galles","1892",1892-01-01,"N/A","N/A","Documentary, Short","Louis Lumière","None","France",4.8,196,"tt0234520","N/A"
"Wrestling","1892",1892-01-01,"N/A","N/A","Short, Sport","William K.L. Dickson","None, English","United States",5.5,144,"tt0242148","N/A"
"Boxing","1892",NA,"N/A","N/A","Short, Sport","N/A","None","United States",5.1,240,"tt0241266","N/A"
"Blacksmith Scene","1893",1893-05-09,"Unrated","1 min","Short, Comedy","William K.L. Dickson","None","United States",6.2,2668,"tt0000005","N/A"
"Annabelle Butterfly Dance","1894",2011-09-20,"Not Rated","1 min","Documentary, Short","William K.L. Dickson","None","United States",5.9,964,"tt0229217","N/A"
"Autour d'une cabine","1894",1894-12-15,"N/A","2 min","Animation, Short","Émile Reynaud","None","France",6.2,1120,"tt0000015","N/A"
"The Barbershop","1894",NA,"N/A","1 min","Documentary, Short","William K.L. Dickson, William Heise","None","United States",5.3,1180,"tt0229235","N/A"
"Bucking Broncho","1894",1894-10-16,"Not Rated","1 min","Documentary, Short, Western","William K.L. Dickson, William Heise","None","United States",5.1,732,"tt0309396","N/A"
"Buffalo Dance","1894",1894-09-24,"Not Rated","1 min","Documentary, Short, Western","William K.L. Dickson","None","United States",5.4,993,"tt0309402","N/A"
"Carmencita","1894",1894-03-10,"Not Rated","1 min","Documentary, Short","William K.L. Dickson","None","United States",5.7,2000,"tt0000001","N/A"
"Edison Kinetoscopic Record of a Sneeze","1894",1894-01-09,"N/A","1 min","Documentary, Short","William K.L. Dickson","None","United States",5.4,2143,"tt0000008","N/A"
"Dickson Experimental Sound Film","1894",1894-08-31,"Not Rated","1 min","Short, Music","William K.L. Dickson","None, English","United States",6.7,2433,"tt0177707","N/A"
"Chinese Opium Den","1894",1894-10-17,"N/A","1 min","Short","William K.L. Dickson","None, English","United States",5.3,182,"tt0000006","N/A"
"Corbett and Courtney Before the Kinetograph","1894",1894-11-17,"Not Rated","1 min","Short, Sport","William K.L. Dickson, William Heise","None","United States",5.4,821,"tt0000007","N/A"
"Falling Cat","1894",NA,"N/A","1 min","Short","Étienne-Jules Marey","None","France",5.7,912,"tt2049440","N/A"
"Glenroy Bros., No. 2","1894",1894-10-06,"N/A","1 min","Short, Comedy","William K.L. Dickson, William Heise","None","United States",5,510,"tt0312728","N/A"
"Glenroy Brothers (Comic Boxing)","1894",1894-10-05,"Not Rated","1 min","Documentary, Short, Sport","William K.L. Dickson","None","United States",5.3,842,"tt0256782","N/A"
"Leonard-Cushing Fight","1894",1894-06-14,"N/A","1 min","Documentary, Short, Sport","William K.L. Dickson","None","United States",5,497,"tt0203646","N/A"
"Luis Martinetti, Contortionist","1894",1894-10-11,"Unrated","1 min","Short","William K.L. Dickson","None","United States",5.6,692,"tt0277115","N/A"
"Sandow No. 2","1894",NA,"N/A","N/A","Documentary, Short","William K.L. Dickson","English","USA",4.7,18,"tt2161519","N/A"
"Sandow No. 3","1894",NA,"N/A","N/A","Documentary, Short","William K.L. Dickson","English","USA",4.2,13,"tt2161521","N/A"
"Rêve au coin du feu","1894",NA,"N/A","N/A","Short","Émile Reynaud","None, French","France",4.2,54,"tt0413219","N/A"
"Miss Jerry","1894",1894-10-09,"N/A","45 min","Romance","Alexander Black","None","United States",5.9,207,"tt0000009","N/A"
"The Waterer Watered","1895",NA,"Not Rated","1 min","Short, Comedy","Louis Lumière","None","France",7.1,5566,"tt0000014","N/A"
"The Execution of Mary, Queen of Scots","1895",1895-08-28,"Not Rated","1 min","Short, History","Alfred Clark","None","United States",6.7,2451,"tt0132134","N/A"
"Akrobatisches Potpourri","1895",1895-11-01,"N/A","1 min","Documentary, Short","Max Skladanowsky","None","Germany",5.2,377,"tt0000011","N/A"
"Annabelle Serpentine Dance","1895",1895-04-01,"Not Rated","1 min","Documentary, Short","William K.L. Dickson, William Heise","None","United States",6.5,2322,"tt0154152","N/A"
"Italienischer Bauerntanz","1895",1895-11-01,"N/A","1 min","Documentary, Short","Emil Skladanowsky, Max Skladanowsky","None","Germany",4.6,329,"tt0000017","N/A"
"Baby's Meal","1895",1896-07-01,"N/A","1 min","Documentary, Short","Louis Lumière","None","France",5.9,3416,"tt0000029","N/A"
"Billy Edwards and the Unknown","1895",1895-01-30,"Not Rated","1 min","Short, Sport","William K.L. Dickson","None","United States",4.5,344,"tt0477266","N/A"
"Blacksmith Scene","1895",1896-06-28,"N/A","1 min","Documentary, Short","Louis Lumière","None","France",5.1,1101,"tt0000022","N/A"
"Boat Leaving the Port","1895",NA,"N/A","1 min","Documentary, Short","Louis Lumière","None","France",5.9,1534,"tt0000016","N/A"
"The House of the Devil","1896",1896-12-25,"Not Rated","3 min","Short, Horror","Georges Méliès","None","France",6.7,3761,"tt0000091","N/A"
"Une nuit terrible","1896",NA,"Not Rated","1 min","Short, Comedy, Horror","Georges Méliès","None","France",5.8,1454,"tt0000131","N/A"
"La fée aux choux","1896",1896-03-31,"N/A","1 min","Short, Family, Fantasy","Alice Guy","None","France",5.4,1269,"tt0223341","N/A"
"The Arrival of a Train","1896",1896-06-30,"Not Rated","1 min","Documentary, Short","Auguste Lumière, Louis Lumière","None","France",7.4,12431,"tt0000012","N/A"
"Sandow","1896",1896-09-01,"Not Rated","1 min","Short, Sport","William K.L. Dickson","None, English","United States",5.4,1021,"tt1428455","N/A"
"Alger: rue Bab-Azoun","1896",1896-05-18,"N/A","1 min","Documentary, Short","Alexandre Promio","None","France",5,257,"tt1672718","N/A"
"Lassage des boeufs pour le labour","1896",1896-05-18,"N/A","1 min","Documentary, Short","Gabriel Veyre","None","France",4.5,99,"tt1736599","N/A"
"Lancement d'un navire","1896",1896-04-20,"N/A","1 min","Short, Documentary","Louis Lumière","None","France",6.2,358,"tt0222137","N/A"
"Bataille de neige","1897",1897-02-07,"N/A","1 min","Documentary, Short, Comedy","Louis Lumière","None","France",6.7,1924,"tt0000041","N/A"
"Four Heads Are Better Than One","1898",1898-11-30,"TV-PG","1 min","Short, Comedy","Georges Méliès","None","France",7.6,3796,"tt0135696","N/A"
"The Astronomer's Dream; or, the Man in the Moon","1898",NA,"Not Rated","3 min","Short, Comedy, Fantasy","Georges Méliès","None","France",7.4,4422,"tt0000211","N/A"
"The Temptation of St. Anthony","1898",NA,"N/A","1 min","Short, Drama, Fantasy","Georges Méliès","None","France",5.9,938,"tt0224240","N/A"
"A Turn of the Century Illusionist","1899",NA,"N/A","1 min","Short, Fantasy","Georges Méliès","None","France",6.4,1062,"tt0000246","N/A"
"Cinderella","1899",1899-12-25,"Not Rated","6 min","Short, Drama, Family","Georges Méliès","None","France",6.5,1727,"tt0000230","N/A"
"Sherlock Holmes Baffled","1900",1900-05-01,"Not Rated","1 min","Short, Comedy, Crime","Arthur Marvin","None","United States",5.2,751,"tt0291476","N/A"
"The Enchanted Drawing","1900",1900-11-16,"N/A","2 min","Animation, Short, Comedy","J. Stuart Blackton","None, English","United States",6.9,1329,"tt0000300","N/A"
"Grandma's Reading Glass","1900",1900-11-01,"N/A","2 min","Short, Family","George Albert Smith","None","United Kingdom",6.1,1203,"tt0000304","N/A"
"As Seen Through a Telescope","1900",1903-04-01,"N/A","1 min","Short, Comedy","George Albert Smith","None","United Kingdom",5.6,850,"tt0000272","N/A"
"The Delights of Automobiling","1900",1902-07-01,"Not Rated","1 min","Short, Comedy","Cecil M. Hepworth","None","United Kingdom",6.3,955,"tt0257654","N/A"
"Le duel d'Hamlet","1900",1908-10-31,"N/A","2 min","Short, Drama","Clément Maurice","None","France",5.3,246,"tt0000306","N/A"
"The One-Man Band","1900",NA,"Not Rated","2 min","Short, Comedy, Music","Georges Méliès","None","France",7,2435,"tt0135453","N/A"
"Grandma Threading Her Needle","1900",1902-09-01,"N/A","1 min","Comedy, Short","George Albert Smith","N/A","UK",7.4,7,"tt0377995","N/A"
"Searching Ruins on Broadway, Galveston, for Dead Bodies","1900",1900-09-24,"Not Rated","1 min","Short, Documentary","Albert E. Smith","None","United States",4.9,211,"tt0230746","N/A"
"Let Me Dream Again","1900",1900-08-01,"N/A","1 min","Short, Comedy","George Albert Smith","None","United Kingdom",5.8,798,"tt0000313","N/A"
"The Doctor and the Monkey","1900",NA,"Not Rated","1 min","Short, Comedy","Georges Méliès","None","France",5.2,367,"tt0227438","N/A"
"L'homme à la tête en caoutchouc","1901",NA,"TV-14","3 min","Short, Comedy, Fantasy","Georges Méliès","None","France",7.1,3022,"tt0000359","N/A"
"Rêve et réalité","1901",NA,"N/A","1 min","Comedy, Short","Ferdinand Zecca","None, French","France",5.1,492,"tt0258104","N/A"
"Bluebeard","1901",1902-05-03,"TV-MA","12 min","Short, Horror","Georges Méliès","None","France",6.9,1813,"tt0131934","N/A"
"A Trip to the Moon","1902",1902-10-04,"TV-G","13 min","Short, Action, Adventure","Georges Méliès","French, English","France",8.2,53908,"tt0000417","N/A"
"A Trip to the Moon","1902",1902-10-04,"TV-G","13 min","Short, Action, Adventure","Georges Méliès","French, English","France",8.2,53908,"tt0000417","N/A"
"Gulliver's Travels","1902",1903-04-13,"Not Rated","4 min","Short, Fantasy","Georges Méliès","None","France",6.6,934,"tt0229024","N/A"
"The Twentieth Century Tramp; or, Happy Hooligan and His Airship","1902",1902-01-01,"N/A","1 min","Comedy, Fantasy, Short","Edwin S. Porter","None","United States",5.1,124,"tt0367177","N/A"
"The Devil's Money Bags","1902",1903-02-01,"Not Rated","3 min","Short, Comedy, Fantasy","Georges Méliès","None","France",5.5,475,"tt0000413","N/A"
"The Great Train Robbery","1903",1903-12-07,"TV-G","11 min","Short, Action, Adventure","Edwin S. Porter","English","United States",7.3,20398,"tt0000439","N/A"
"The Great Train Robbery","1903",1903-12-07,"TV-G","11 min","Short, Action, Adventure","Edwin S. Porter","English","United States",7.3,20398,"tt0000439","N/A"
"The Infernal Cauldron","1903",1903-10-17,"N/A","2 min","Short, Horror","Georges Méliès","None","France",6.6,2023,"tt0135180","N/A"
"The Music Lover","1903",1903-08-15,"N/A","3 min","Short, Comedy, Music","Georges Méliès","None, French","France",6.8,1897,"tt0000455","N/A"
"The Monster","1903",1903-08-15,"Not Rated","3 min","Short, Fantasy, Horror","Georges Méliès","None","France",6.3,1290,"tt0223755","N/A"
"The Enchanted Well","1903",1903-06-27,"Not Rated","4 min","Fantasy, Drama, Short","Georges Méliès","None","France",6,453,"tt0189498","N/A"
"The Cook in Trouble","1904",NA,"Not Rated","4 min","Short, Comedy, Fantasy","Georges Méliès","None","France",6,854,"tt0215664","N/A"
"The Living Playing Cards","1905",NA,"Not Rated","3 min","Short, Comedy, Fantasy","Georges Méliès","None","France",6.6,1537,"tt0135179","N/A"
"The Untamable Whiskers","1904",1904-03-05,"Not Rated","3 min","Short, Fantasy","Georges Méliès","None","France",6.2,1148,"tt0135631","N/A"
"An Impossible Voyage","1904",1904-10-29,"Not Rated","24 min","Short, Action, Adventure","Georges Méliès","None, French, English, German","France",7.5,3841,"tt0000499","N/A"
"The Scheming Gambler's Paradise","1905",NA,"Not Rated","3 min","Short","Georges Méliès","None","France",6,849,"tt0135690","N/A"
"The Black Imp","1905",NA,"Not Rated","4 min","Short, Comedy, Fantasy","Georges Méliès","None","France",7,2221,"tt0215575","N/A"
"The Story of the Kelly Gang","1906",1906-12-26,"Not Rated","70 min","Action, Adventure, Biography","Charles Tait","None","Australia",6,852,"tt0000574","N/A"
"The Story of the Kelly Gang","1906",1906-12-26,"Not Rated","70 min","Action, Adventure, Biography","Charles Tait","None","Australia",6,852,"tt0000574","N/A"
"The Mysterious Retort","1906",NA,"Not Rated","3 min","Short, Fantasy, Mystery","Georges Méliès","None","France",5.9,677,"tt0216016","N/A"
"Humorous Phases of Funny Faces","1906",1906-04-06,"N/A","3 min","Animation, Short, Comedy","J. Stuart Blackton","None","United States",6.3,1391,"tt0000554","N/A"
"The Hilarious Posters","1906",NA,"Not Rated","3 min","Short, Comedy, Fantasy","Georges Méliès","None","France",6.2,1161,"tt0135122","N/A"
"The 400 Tricks of the Devil","1906",1972-07-01,"Not Rated","17 min","Short, Fantasy, Horror","Georges Méliès","None, English, French","France",6.8,1298,"tt0000567","N/A"
"A Funny Shave","1906",1906-04-01,"16+","2 min","Short, Comedy","Segundo de Chomón","None, French","France",5.8,569,"tt0449172","N/A"
"The Consequences of Feminism","1906",NA,"Not Rated","7 min","Short, Comedy","Alice Guy","None","France",6.6,888,"tt1260944","N/A"
"The Eclipse: Courtship of the Sun and Moon","1907",2009-09-22,"Not Rated","9 min","Short, Comedy, Fantasy","Georges Méliès","None","France",6.4,1337,"tt0215737","N/A"
"Good Glue Sticks","1907",NA,"Not Rated","5 min","Short, Comedy","Georges Méliès","None","France",5.5,614,"tt0215817","N/A"
"Unusual Cooking","1908",1908-09-19,"N/A","3 min","Short","Segundo de Chomón","None, French","France",5.8,45,"tt1802750","N/A"
"Princess Nicotine; or, the Smoke Fairy","1909",1909-08-10,"Unrated","5 min","Comedy, Short, Fantasy","J. Stuart Blackton","None, English","United States",6.5,981,"tt0001009","N/A"
"The Devilish Tenant","1909",1909-01-01,"N/A","6 min","Short, Comedy","Georges Méliès","None, French","France",7.2,1912,"tt0127948","N/A"
"Le baromètre de la fidélité","1915",NA,"N/A","15 min","Short, Comedy","Georges Monca","None, French","France",6.1,59,"tt0277596","N/A"
"Tilly the Tomboy Visits the Poor","1910",1910-09-01,"N/A","6 min","Comedy, Short","Lewin Fitzhamon","None","United Kingdom",6,59,"tt0232821","N/A"
"The Automatic Moving Company","1910",1912-05-07,"Not Rated","4 min","Animation, Short, Comedy","Romeo Bosetti, Émile Cohl","French, None","France",6.6,373,"tt0486978","N/A"
"A Trip to Mars","1910",1910-02-18,"N/A","5 min","Short, Adventure, Fantasy","Ashley Miller","None, English","United States",6,484,"tt1515725","N/A"
"Cleopatra","1912",1912-11-13,"Unrated","100 min","Drama, History","Charles L. Gaskill","None, English","United States",5.1,571,"tt0002101","N/A"
"The Invaders","1912",1912-11-29,"Not Rated","41 min","Short, Western","Francis Ford, Thomas H. Ince","None, English","United States",6.1,324,"tt0002281","N/A"
"L'âne jaloux","1912",1912-05-13,"N/A","7 min","Short, Comedy","Max Linder, René Leprince","None, French","France",5.8,58,"tt0277865","N/A"
"The Voyage of the Bourrichon Family","1913",NA,"Not Rated","15 min","Short, Comedy","Georges Méliès","None, French","France",5,172,"tt0003512","N/A"
"Suspense","1913",1913-07-06,"Not Rated","10 min","Short, Drama, Horror","Phillips Smalley, Lois Weber","None, English","United States",7.4,2043,"tt0003424","N/A"
"A Florida Enchantment","1914",1916-09-04,"Unrated","63 min","Comedy","Sidney Drew","None, English","United States",5.8,278,"tt0003973","N/A"
"The Birth of a Nation","1915",1915-03-21,"TV-PG","195 min","Drama, History, War","D.W. Griffith","English","United States",6.2,25821,"tt0004972","N/A"
"The Birth of a Nation","1915",1915-03-21,"TV-PG","195 min","Drama, History, War","D.W. Griffith","English","United States",6.2,25821,"tt0004972","N/A"
"Gretchen the Greenhorn","1916",1916-09-03,"Not Rated","58 min","Crime, Drama, Romance","Chester M. Franklin, Sidney Franklin","None, English","United States",6.4,523,"tt0006745","N/A"
"Lady Windermere's Fan","1916",1919-06-15,"N/A","66 min","Comedy, Drama","Fred Paul","English","United Kingdom",5.5,58,"tt0279914","N/A"
"The Vagabond","1916",1916-07-10,"N/A","24 min","Short, Comedy, Drama","Charles Chaplin","None, English","United States",6.8,3087,"tt0007507","N/A"
"Intolerance","1916",1916-10-04,"Passed","163 min","Drama, History","D.W. Griffith","English","United States",7.7,16376,"tt0006864","N/A"
"Intolerance","1916",1916-10-04,"Passed","163 min","Drama, History","D.W. Griffith","English","United States",7.7,16376,"tt0006864","N/A"
"Intolerance","1916",1916-10-04,"Passed","163 min","Drama, History","D.W. Griffith","English","United States",7.7,16376,"tt0006864","N/A"
"Snow White","1916",1916-12-25,"Unrated","63 min","Fantasy, Romance","J. Searle Dawley","None, English","United States",6.3,418,"tt0007361","N/A"
"A Tale of Two Cities","1917",1917-03-11,"N/A","70 min","Drama, History, Romance","Frank Lloyd","None","United States",6.1,152,"tt0008652","N/A"
"Rebecca of Sunnybrook Farm","1917",1917-09-22,"Passed","78 min","Comedy, Drama","Marshall Neilan","None, English","United States",6.3,876,"tt0008499","N/A"
"The Poor Little Rich Girl","1917",1917-03-05,"Not Rated","78 min","Comedy, Drama, Family","Maurice Tourneur","English","United States",6.7,1489,"tt0008443","N/A"
"A Romance of the Redwoods","1917",1917-05-14,"Not Rated","70 min","Adventure, Comedy, Drama","Cecil B. DeMille","None","United States",6.1,846,"tt0008519","N/A"
"Raffles, the Amateur Cracksman","1917",1917-12-15,"N/A","70 min","Adventure, Crime, Romance","George Irving","None, English","United States",6.4,173,"tt0008489","N/A"
"Tarzan of the Apes","1918",1918-01-27,"Not Rated","73 min","Action, Adventure","Scott Sidney","English","United States",5.7,881,"tt0009682","$3,270,000"
"Tarzan of the Apes","1918",1918-01-27,"Not Rated","73 min","Action, Adventure","Scott Sidney","English","United States",5.7,881,"tt0009682","$3,270,000"
"Stella Maris","1918",1918-01-21,"Unrated","84 min","Drama","Marshall Neilan","None","United States",6.9,1518,"tt0009652","N/A"
"Stella Maris","1918",1918-01-21,"Unrated","84 min","Drama","Marshall Neilan","None","United States",6.9,1518,"tt0009652","N/A"
"Are Crooks Dishonest?","1918",1918-06-23,"Not Rated","13 min","Comedy, Short","Gilbert Pratt","None, English","United States",6.3,351,"tt0008844","N/A"
"I Don't Want to Be a Man","1918",1918-11-18,"Not Rated","45 min","Comedy, Romance","Ernst Lubitsch","None, German","Germany",6.8,1589,"tt0010281","N/A"
"When the Clouds Roll by","1919",1919-12-28,"N/A","85 min","Action, Comedy, Romance","Victor Fleming","English","United States",6.9,957,"tt0010879","N/A"
"Broken Blossoms","1919",1919-10-20,"Not Rated","90 min","Drama, Romance","D.W. Griffith","English","United States",7.2,10856,"tt0009968","N/A"
"Broken Blossoms","1919",1919-10-20,"Not Rated","90 min","Drama, Romance","D.W. Griffith","English","United States",7.2,10856,"tt0009968","N/A"
"The Cabinet of Dr. Caligari","1920",1920-02-27,"Not Rated","67 min","Horror, Mystery, Thriller","Robert Wiene","German","Germany",8,67990,"tt0010323","$8,811"
"The Cabinet of Dr. Caligari","1920",1920-02-27,"Not Rated","67 min","Horror, Mystery, Thriller","Robert Wiene","German","Germany",8,67990,"tt0010323","$8,811"
"Pollyanna","1920",1920-01-18,"TV-G","58 min","Family, Comedy, Drama","Paul Powell","English","United States",6.4,480,"tt0011588","N/A"
"Within Our Gates","1920",1920-01-12,"Not Rated","79 min","Drama, Romance","Oscar Micheaux","None","United States",6.4,3437,"tt0011870","N/A"
"Within Our Gates","1920",1920-01-12,"Not Rated","79 min","Drama, Romance","Oscar Micheaux","None","United States",6.4,3437,"tt0011870","N/A"
"Orphans of the Storm","1921",1922-09-15,"Not Rated","150 min","Drama, History, Romance","D.W. Griffith","English","United States",7.3,5386,"tt0012532","N/A"
"Orphans of the Storm","1921",1922-09-15,"Not Rated","150 min","Drama, History, Romance","D.W. Griffith","English","United States",7.3,5386,"tt0012532","N/A"
"The Kid","1921",1921-02-06,"Passed","68 min","Comedy, Drama, Family","Charles Chaplin","English","United States",8.2,131986,"tt0012349","N/A"
"The Kid","1921",1921-02-06,"Passed","68 min","Comedy, Drama, Family","Charles Chaplin","English","United States",8.2,131986,"tt0012349","N/A"
"The Blot","1921",1921-09-04,"Passed","91 min","Drama, Romance","Lois Weber","None, English","United States",6.7,656,"tt0011979","N/A"
"The Blot","1921",1921-09-04,"Passed","91 min","Drama, Romance","Lois Weber","None, English","United States",6.7,656,"tt0011979","N/A"
"The Phantom Carriage","1921",1922-06-04,"Not Rated","107 min","Drama, Fantasy, Horror","Victor Sjöström","None, Swedish","Sweden",8,13644,"tt0012364","N/A"
"The Phantom Carriage","1921",1922-06-04,"Not Rated","107 min","Drama, Fantasy, Horror","Victor Sjöström","None, Swedish","Sweden",8,13644,"tt0012364","N/A"
"Nosferatu","1922",1922-05-18,"Not Rated","94 min","Fantasy, Horror","F.W. Murnau","German, English","Germany",7.9,102534,"tt0013442","N/A"
"Nosferatu","1922",1922-05-18,"Not Rated","94 min","Fantasy, Horror","F.W. Murnau","German, English","Germany",7.9,102534,"tt0013442","N/A"
"Phantom","1922",1922-11-13,"Not Rated","125 min","Drama, Romance","F.W. Murnau","None, German","Germany",6.7,1913,"tt0013496","N/A"
"Phantom","1922",1922-11-13,"Not Rated","125 min","Drama, Romance","F.W. Murnau","None, German","Germany",6.7,1913,"tt0013496","N/A"
"Nathan der Weise","1922",1923-09-21,"N/A","128 min","Drama, History","Manfred Noa","None, German","Germany",6.9,147,"tt0013428","N/A"
"The Man from Beyond","1922",1922-04-02,"Not Rated","74 min","Mystery, Sci-Fi","Burton L. King","English","United States",5.3,322,"tt0013367","N/A"
"Häxan","1922",1929-05-27,"Not Rated","91 min","Documentary, Fantasy, Horror","Benjamin Christensen","Swedish, Danish","Sweden, Denmark",7.6,16055,"tt0013257","N/A"
"Häxan","1922",1929-05-27,"Not Rated","91 min","Documentary, Fantasy, Horror","Benjamin Christensen","Swedish, Danish","Sweden, Denmark",7.6,16055,"tt0013257","N/A"
"The Paleface","1922",1922-01-15,"Not Rated","20 min","Short, Comedy, Western","Buster Keaton","None, English","United States",6.8,3167,"tt0012543","N/A"
"Nanook of the North","1922",1922-06-11,"Passed","78 min","Documentary","Robert J. Flaherty","English","France, United States",7.6,13126,"tt0013427","N/A"
"Nanook of the North","1922",1922-06-11,"Passed","78 min","Documentary","Robert J. Flaherty","English","France, United States",7.6,13126,"tt0013427","N/A"
"Foolish Wives","1922",1922-01-11,"Not Rated","117 min","Drama, Thriller","Erich von Stroheim","English, Latin, French","United States",7,3915,"tt0013140","N/A"
